DATE,DAY,100 LaFave South: Temple of Sinawava,101 LaFave South: The Sentinel,400 LaFave North: The Sundial,102 LaFave South: The Watchman,103 LaFave South: The Zion Suite,203 LaFave South: Emerald Pools,210 LaFave South: The Subway,506 LaFave North: Meridian Tower,505 LaFave North: Lava Point,201 LaFave South: Checkerboard Mesa,202 LaFave South: Echo Canyon,206 LaFave South: Mountain of the Sun,207 LaFave South: Mystery Falls,500 LaFave North: Big Springs,502 LaFave North: East Temple,508 LaFave North: Phantom Valley,509 LaFave North: Pine Creek,204 LaFave South: Hidden Canyon,205 LaFave South: Kolob Arch,208 LaFave South: Northgate Peaks,209 LaFave South: Orderville Canyon,504 LaFave North: Kayenta,507 LaFave North: Mount Kinesava,511 LaFave North: Weeping Rock,200 LaFave South: Angels Landing,211 LaFave South: The Narrows,501 LaFave North: Cathedral Mountain,510 LaFave North: Virgin River,503 LaFave North: Johnson Mountain,302 LaFave South: The Gallery House,notes
,,Suite BIG (1BR/1BA),Suite BIG (1BR/1BA),Suite BIG (1BR/1BA),Suite SMALL (1BR/1BA),Suite SMALL (1BR/1BA),Villa Game (2BR/2BA),Villa Game (2BR/2BA),Villa Game (2BR/2BA),Villa Game (2BR/2BA),Premium Villa (2BR/2BA),Premium Villa (2BR/2BA),Premium Villa (2BR/2BA),Premium Villa (2BR/2BA),Premium Villa (2BR/2BA),Premium Villa (2BR/2BA),Premium Villa (2BR/2BA),Premium Villa (2BR/2BA),Deluxe Villa (2BR/1BA),Deluxe Villa (2BR/1BA),Deluxe Villa (2BR/1BA),Deluxe Villa (2BR/1BA),Deluxe Villa (2BR/1BA),Deluxe Villa (2BR/1BA),Deluxe Villa (2BR/1BA),Premier Villa (3BR/3BA),Premier Villa (3BR/3BA),Premier Villa (3BR/3BA),Premier Villa (3BR/3BA),J.MT. Villa (3BR/2BA),House (6BR/4BA),
2/3/2027,Wednesday,229,233,216,185,185,409,394,394,409,341,329,334,334,329,323,323,323,284,284,277,275,277,275,266,496,496,483,483,475,825,
2/4/2027,Thursday,260,265,245,210,210,466,449,449,466,387,374,380,380,374,368,368,368,325,325,318,315,318,315,305,562,562,547,547,535,940,
2/5/2027,Friday,265,270,250,215,215,481,464,464,481,397,384,390,390,384,377,377,377,336,336,328,325,328,325,314,577,577,561,561,550,965,
2/6/2027,Saturday,286,292,270,230,230,512,494,494,512,423,409,415,415,409,402,402,402,356,356,348,345,348,345,334,618,618,601,601,585,1030,
2/7/2027,Sunday,234,239,221,190,190,424,409,409,424,351,339,344,344,339,333,333,333,294,294,288,285,288,285,276,512,512,497,497,485,850,
2/8/2027,Monday,218,223,206,175,175,393,379,379,393,325,314,319,319,314,309,309,309,274,274,267,265,267,265,256,471,471,458,458,450,790,
2/9/2027,Tuesday,208,212,196,170,170,378,364,364,378,315,304,309,309,304,299,299,299,263,263,257,255,257,255,247,456,456,443,443,435,760,
2/10/2027,Wednesday,229,233,216,185,185,409,394,394,409,341,329,334,334,329,323,323,323,284,284,277,275,277,275,266,496,496,483,483,475,825,
2/11/2027,Thursday,260,265,245,210,210,466,449,449,466,387,374,380,380,374,368,368,368,325,325,318,315,318,315,305,562,562,547,547,535,940,
2/12/2027,Friday,318,324,300,258,258,481,464,464,481,397,384,390,390,384,377,377,377,336,336,328,325,328,325,314,577,577,561,561,550,965,Valentines Day ( 1.2 multipler for 1br/1ba)
2/13/2027,Saturday,343,350,323,276,276,512,494,494,512,423,409,415,415,409,402,402,402,356,356,348,345,348,345,334,618,618,601,601,585,1030,Valentines Day ( 1.2 multipler for 1br/1ba)
2/14/2027,Sunday,281,286,265,228,228,424,409,409,424,351,339,344,344,339,333,333,333,294,294,288,285,288,285,276,512,512,497,497,485,850,Valentines Day ( 1.2 multipler for 1br/1ba)
2/15/2027,Monday,218,223,206,175,175,393,379,379,393,325,314,319,319,314,309,309,309,274,274,267,265,267,265,256,471,471,458,458,450,790,
2/16/2027,Tuesday,208,212,196,170,170,378,364,364,378,315,304,309,309,304,299,299,299,263,263,257,255,257,255,247,456,456,443,443,435,760,
2/17/2027,Wednesday,229,233,216,185,185,409,394,394,409,341,329,334,334,329,323,323,323,284,284,277,275,277,275,266,496,496,483,483,475,825,
2/18/2027,Thursday,260,265,245,210,210,466,449,449,466,387,374,380,380,374,368,368,368,325,325,318,315,318,315,305,562,562,547,547,535,940,
2/19/2027,Friday,265,270,250,215,215,481,464,464,481,397,384,390,390,384,377,377,377,336,336,328,325,328,325,314,577,577,561,561,550,965,
2/20/2027,Saturday,286,292,270,230,230,512,494,494,512,423,409,415,415,409,402,402,402,356,356,348,345,348,345,334,618,618,601,601,585,1030,
2/21/2027,Sunday,234,239,221,190,190,424,409,409,424,351,339,344,344,339,333,333,333,294,294,288,285,288,285,276,512,512,497,497,485,850,
2/22/2027,Monday,218,223,206,175,175,393,379,379,393,325,314,319,319,314,309,309,309,274,274,267,265,267,265,256,471,471,458,458,450,790,
2/23/2027,Tuesday,208,212,196,170,170,378,364,364,378,315,304,309,309,304,299,299,299,263,263,257,255,257,255,247,456,456,443,443,435,760,
2/24/2027,Wednesday,229,233,216,185,185,409,394,394,409,341,329,334,334,329,323,323,323,284,284,277,275,277,275,266,496,496,483,483,475,825,
2/25/2027,Thursday,260,265,245,210,210,466,449,449,466,387,374,380,380,374,368,368,368,325,325,318,315,318,315,305,562,562,547,547,535,940,
2/26/2027,Friday,345,351,325,280,280,626,603,603,626,517,499,507,507,499,490,490,490,436,436,426,423,426,423,409,751,751,730,730,715,1255,Zion Half Marathon ( 1.3 multiplier)
2/27/2027,Saturday,372,379,350,299,299,666,642,642,666,550,531,540,540,531,522,522,522,463,463,453,449,453,449,434,803,803,781,781,761,1339,Zion Half Marathon ( 1.3 multiplier)
2/28/2027,Sunday,304,310,287,247,247,552,531,531,552,456,441,448,448,441,433,433,433,383,383,374,371,374,371,358,665,665,647,647,631,1105,Zion Half Marathon ( 1.3 multiplier)
3/1/2027,Monday,218,223,206,175,175,393,379,379,393,325,314,319,319,314,309,309,309,274,274,267,265,267,265,256,471,471,458,458,450,790,
3/2/2027,Tuesday,208,212,196,170,170,378,364,364,378,315,304,309,309,304,299,299,299,263,263,257,255,257,255,247,456,456,443,443,435,760,
3/3/2027,Wednesday,229,233,216,185,185,409,394,394,409,341,329,334,334,329,323,323,323,284,284,277,275,277,275,266,496,496,483,483,475,825,
3/4/2027,Thursday,260,265,245,210,210,466,449,449,466,387,374,380,380,374,368,368,368,325,325,318,315,318,315,305,562,562,547,547,535,940,
3/5/2027,Friday,345,351,325,280,280,626,603,603,626,517,499,507,507,499,490,490,490,436,436,426,423,426,423,409,751,751,730,730,715,1255,Zion Spartan Trifecta Weekend (1.3 multiplier)
3/6/2027,Saturday,372,379,350,299,299,666,642,642,666,550,531,540,540,531,522,522,522,463,463,453,449,453,449,434,803,803,781,781,761,1339,Zion Spartan Trifecta Weekend (1.3 multiplier)
3/7/2027,Sunday,304,310,287,247,247,552,531,531,552,456,441,448,448,441,433,433,433,383,383,374,371,374,371,358,665,665,647,647,631,1105,Zion Spartan Trifecta Weekend (1.3 multiplier)
